dir,name,slot,delivery,verdict,impact,delta_pct
00-P-suspend_unlive__no_valid_mdb_,suspend_unlive'_no_valid_mdb,P,named,TRIAL-FAILED,,
01-P-suspend_unlive__no_valid_objs_,suspend_unlive'_no_valid_objs,P,named,TRIAL-FAILED,,
02-P-suspend_unlive__no_tcb_at_,suspend_unlive'_no_tcb_at,P,named,TRIAL-FAILED,,
