dir,name,slot,delivery,verdict,impact,delta_pct
00-P-cap_swap_asid_map__,cap_swap_asid_map',P,named,trial_passed,additive,0.76
01-P-vs_cap_ref_master_no_base_,vs_cap_ref_master_no_base,P,named,TRIAL-FAILED,,
02-P-post_cap_delete_pre_is_final_cap___,post_cap_delete_pre_is_final_cap'',P,named,trial_passed,additive,1.08
