dir,name,slot,delivery,verdict,impact,delta_pct
00-P-lsfco_real_cte_at_no_valid_objs_,lsfco_real_cte_at_no_valid_objs,P,named,TRIAL-FAILED,,
01-P-lsfco_cte_at_no_valid_objs_,lsfco_cte_at_no_valid_objs,P,named,TRIAL-FAILED,,
02-P-complete_signal_invs_no_tcb_at_,complete_signal_invs_no_tcb_at,P,named,TRIAL-FAILED,,
