HOL.Series                                             2.039    12.768     0.495
HOL.Relation                                           1.968     3.931     0.000
HOL.Extraction                                         1.954    12.165     0.712
Main                                                   1.883     1.954     0.000
HOL.Transitive_Closure                                 1.824    11.954     0.668
HOL.Factorial                                          1.791     8.861     0.722
HOL.Filter                                             1.767     9.846     0.581
HOL.Code_Numeral                                       1.748     6.817     0.388
HOL.Hilbert_Choice                                     1.716    11.419     0.948
HOL.Set                                                1.665     4.682     1.224
HOL.Transfer                                           1.607     3.342     0.417
HOL.Modules                                            1.602     9.689     0.401
HOL.Ctr_Sugar                                          1.582     5.257     0.000
HOL.Predicate                                          1.517     8.390     0.395
HOL.Groebner_Basis                                     1.450    10.165     0.000
HOL.Code_Evaluation                                    1.437     4.927     0.000
HOL.Fun                                                1.391     3.658     0.000
HOL.Nunchaku                                           1.350     1.386     0.000
HOL.Binomial                                           1.272     7.422     0.000
HOL.Complete_Partial_Order                             1.227     3.288     0.000
HOL.Typerep                                            1.187     7.134     0.395
HOL.Lazy_Sequence                                      1.178     4.789     1.084
HOL.Random_Sequence                                    1.102     5.877     0.898
HOL.BNF_Composition                                    1.100     3.718     0.000
HOL.BNF_Cardinal_Order_Relation                        1.077     8.321     0.000
HOL.Wellfounded                                        1.031     6.157     0.000
HOL.Option                                             1.022     6.606     1.061
HOL.Numeral_Simprocs                                   0.974     4.030     0.000
HOL.BNF_Wellorder_Constructions                        0.950     6.243     0.897
HOL.Map                                                0.934     5.856     0.000
HOL.Partial_Function                                   0.891     5.994     0.000
HOL.Boolean_Algebras                                   0.884     1.371     0.000
HOL.NthRoot                                            0.739     4.736     0.000
HOL.Fun_Def_Base                                       0.722     4.460     0.948
HOL.Zorn                                               0.668     5.055     0.000
HOL.Random                                             0.665     3.380     0.000
HOL.BNF_Cardinal_Arithmetic                            0.628     4.519     0.000
HOL.Order_Relation                                     0.615     3.798     0.948
HOL.Random_Pred                                        0.558     3.209     0.000
HOL.Lifting_Set                                        0.487     3.347     0.000
HOL.SAT                                                0.481     1.157     0.000
HOL.Basic_BNFs                                         0.476     2.290     0.000
HOL.Equiv_Relations                                    0.440     2.205     0.000
HOL.Mirabelle                                          0.430     0.978     0.000
HOL.BNF_Wellorder_Embedding                            0.428     3.170     0.000
HOL.MacLaurin                                          0.408     2.284     0.000
HOL.Limited_Sequence                                   0.333     1.012     0.000
HOL.Sum_Type                                           0.297     1.257     0.000
HOL.Basic_BNF_LFPs                                     0.276     1.451     0.000
HOL.BNF_Wellorder_Relation                             0.242     1.918     0.000
HOL.Typedef                                            0.222     0.905     0.000
Complex_Main                                           0.220     0.633     0.000
HOL.Hull                                               0.186     0.876     0.000
HOL.Wfrec                                              0.136     0.903     0.000
HOL.Inequalities                                       0.082     0.331     0.000
--------------------------------------------------------------------------------
TOTAL                                                459.701  1702.822    93.317

--- Word_Lib  (66 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
HOL-Library.Word                                       8.475    33.729     0.985
HOL-Library.Sublist                                    7.803    37.600     0.408
Word_Lib.More_Bit_Ring                                 4.237    18.793     0.408
HOL-Eisbach.Eisbach                                    4.067    17.448     0.408
HOL-Library.Signed_Division                            4.056    17.364     0.408
Word_Lib.Bits_Int                                      4.025    30.576     0.958
HOL-Library.Numeral_Type                               3.499    17.351     0.000
HOL-Library.Phantom_Type                               3.293    13.924     0.000
Word_Lib.Reversed_Bit_Lists                            2.844    19.363     0.525
Word_Lib.Boolean_Inequalities                          2.659    20.079     0.564
Word_Lib.Word_EqI                                      2.472    18.939     0.394
Word_Lib.Word_Lemmas                                   2.298    15.021     0.525
Word_Lib.Enumeration                                   2.202     9.096     0.000
Word_Lib.More_Word                                     2.088    16.301     0.330
Word_Lib.Word_Lib_Sumo                                 2.070    15.921     0.399
Word_Lib.Bit_Shifts_Infix_Syntax                       1.934    14.542     0.876
Word_Lib.Bit_Comprehension                             1.698    13.260     0.330
HOL-Library.Type_Length                                1.558     7.397     0.548
HOL-Library.Cardinality                                1.453     8.371     0.408
Word_Lib.More_Word_Operations                          1.416    10.643     0.363
Word_Lib.Word_Lemmas_Internal                          1.217     9.351     0.292
Word_Lib.Word_8                                        1.126     8.925     0.000
Word_Lib.Examples                                      1.115     3.450     0.000
Word_Lib.Word_32                                       1.107     8.456     0.292
Word_Lib.Generic_set_bit                               0.951     7.137     0.000
Word_Lib.Least_significant_bit                         0.903     7.087     0.000
Word_Lib.Word_64                                       0.764     0.984     0.000
Word_Lib.Many_More                                     0.719     5.615     0.000
Word_Lib.Signed_Division_Word                          0.642     4.894     0.330
Word_Lib.Enumeration_Word                              0.633     4.681     0.409
Word_Lib.Guide                                         0.612     1.420     0.000
Word_Lib.Word_Lemmas_Prefix                            0.574     4.487     0.000
Word_Lib.Even_More_List                                0.564     1.566     0.000
Word_Lib.Aligned                                       0.535     4.146     0.000
Word_Lib.Word_Lemmas_32_Internal                       0.517     3.672     0.475
Word_Lib.Typedef_Morphisms                             0.508     4.014     0.000
Word_Lib.Bitwise                                       0.477     3.762     0.000
Word_Lib.Distinct_Prop                                 0.436     3.421     0.000
Word_Lib.Word_Syntax                                   0.340     2.723     0.000
Word_Lib.More_Misc                                     0.324     0.836     0.000
HOL-Library.Prefix_Order                               0.315     1.429     0.000
Word_Lib.More_Sublist                                  0.287     1.299     0.000
Word_Lib.More_Divides                                  0.269     2.148     0.000
Word_Lib.WordSetup                                     0.241     1.871     0.000
Word_Lib.Bitwise_Signed                                0.236     1.826     0.000
Word_Lib.Most_significant_bit                          0.231     1.876     0.000
Word_Lib.Legacy_Aliases                                0.217     1.735     0.000
Word_Lib.Word_16                                       0.178     1.433     0.000
Word_Lib.Bit_Comprehension_Int                         0.164     1.267     0.000
Word_Lib.Signed_Words                                  0.160     1.277     0.000
Word_Lib.Machine_Word_64                               0.154     0.547     0.000
Word_Lib.Singleton_Bit_Shifts                          0.152     1.191     0.000
Word_Lib.Sgn_Abs                                       0.119     0.940     0.000
Word_Lib.Norm_Words                                    0.117     0.944     0.000
Word_Lib.Rsplit                                        0.117     0.933     0.000
Word_Lib.Machine_Word_32                               0.117     0.943     0.000
Word_Lib.Next_and_Prev                                 0.096     0.678     0.000
Word_Lib.More_Arithmetic                               0.095     0.526     0.000
Word_Lib.Machine_Word_32_Basics                        0.095     0.760     0.000
Word_Lib.Machine_Word_64_Basics                        0.079     0.214     0.000
