dir,name,slot,delivery,verdict,impact,delta_pct
00-P-store_pde_global_objs_no_global_refs_,store_pde_global_objs_no_global_refs,P,named,TRIAL-FAILED,,
01-P-store_pde_global_objs_no_arch_state_,store_pde_global_objs_no_arch_state,P,named,TRIAL-FAILED,,
02-P-store_pde_valid_kernel_mappings_map_global_no_arch_state_,store_pde_valid_kernel_mappings_map_global_no_arch_state,P,named,TRIAL-FAILED,,
