dir,name,slot,delivery,verdict,impact,delta_pct
00-P-same_object_also_valid_no_vptr_,same_object_also_valid_no_vptr,P,named,TRIAL-FAILED,,
01-P-same_object_also_valid_no_asid_base_,same_object_also_valid_no_asid_base,P,named,trial_passed,additive,0.48
02-P-checked_insert_tcb_invs_no_tcb_cap_valid_,checked_insert_tcb_invs_no_tcb_cap_valid,P,named,TRIAL-FAILED,,
